# SEVEN WONDERS CARD LIST (6 players)
#
# Generated from cards.txt. Copy counts are exact for this player count.
# Guilds: 8 of the 10 guilds below are included each game.
#
Format:
Card Name (card_id) | Color | Cost | Benefit | Chains | Copies
Training Ground (training_ground) | Red | [ore, ore, wood] | +2 military | to circus | 2
Dispensary (dispensary) | Green | [ore, ore, glass] | +1 compass | from apothecary, to arena, to lodge | 2
Laboratory (laboratory) | Green | [brick, brick, paper] | +1 cog | from workshop, to siege_workshop, to lodge | 2
Library (library) | Green | [stone, stone, cloth] | +1 tablet | from scriptorium, to senate, to university | 2
School (school) | Green | [wood, paper] | +1 tablet | to academy, to study | 1

### AGE 3
Pantheon (pantheon) | Blue | [brick, brick, ore, glass, paper, cloth] | +7 points | from altar | 2
Gardens (gardens) | Blue | [brick, brick, wood] | +5 points | from theater | 2
Senate (senate) | Blue | [wood, wood, stone, ore] | +6 points | from university | 2
Town Hall (town_hall) | Blue | [stone, stone, stone, glass] | +6 points | None | 2
Palace (palace) | Blue | [wood, stone, ore, brick, glass, paper, cloth] | +8 points | None | 1
Lighthouse (lighthouse) | Yellow | [stone, glass] | +1 coin and +1 point for each yellow card you have | from caravansery | 2
Haven (haven) | Yellow | [wood, ore, cloth] | +1 coin and +1 point for each brown card you have | from forum | 2
Chamber of Commerce (chamber_of_commerce) | Yellow | [brick, brick, paper] | +2 coins and +12 points for each gray card you have | None | 2
Ludus (ludus) | Yellow | [stone, ore] | +3 coins and +1 point for each red card you have | None | 1
Arena (arena) | Yellow | [brick, brick, ore] | +3 coins and +1 point for each wonder stage card you have built | from dispensary | 2
Castrum (castrum) | Red | [brick, brick, wood, paper] | +3 military | None | 1
Fortifications (fortifications) | Red | [ore, ore, ore, brick] | +3 military | from walls | 1
Circus (circus) | Red | [brick, brick, brick, ore] | +3 military | from training_ground | 2
Arsenal (arsenal) | Red | [wood, wood, ore, cloth] | +3 military | None | 2
Siege Workshop (siege_workshop) | Red | [brick, brick, brick, wood] | +3 military | from laboratory | 2
Lodge (lodge) | Green | [brick, brick, paper, cloth] | +1 compass | from dispensary, from laboratory | 2
Academy (academy) | Green | [stone, stone, stone, glass] | +1 compass | from school | 1
Observatory (observatory) | Green | [ore, ore, glass, cloth] | +1 cog | from laboratory | 1
Study (study) | Green | [wood, paper, cloth] | +1 cog | from school | 2
University (university) | Green | [wood, wood, glass, paper] | +1 tablet | from library | 2

### GUILDS
There are 10 guilds; 8 are included in each game.

Worker's Guild (workers_guild) | Purple | [ore, ore, wood, stone, brick] | +1 point for all of each neighbors' brown cards | None | 1
Craftsmen's Guild (craftsmens_guild) | Purple | [stone, stone, ore] | +2 points for all of each neighbors' gray cards | None | 1
Magistrate's Guild (magistrates_guild) | Purple | [wood, wood, wood, stone, cloth] | +1 point for all of each neighbor's blue cards | None | 1
Trader's Guild (traders_guild) | Purple | [paper, glass, cloth] | +1 point for all of each neighbor's yellow cards | None | 1
Spies Guild (spies_guild) | Purple | [brick, brick, glass] | +1 point for all of each neighbor's red cards | None | 1
Philosopher's Guild (philosophers_guild) | Purple | [brick, brick, brick, paper, cloth] | +1 point for all of each neighbor's green cards | None | 1
Scientist's Guild (scientists_guild) | Purple | [wood, wood, ore, ore, paper] | +1 compass or +1 cog or +1 tablet | None | 1
Shipowner's Guild (shipowners_guild) | Purple | [wood, wood, wood, glass, paper] | +1 point for each of your brown, gray, and purple cards | None | 1
Builder's Guild (builders_guild) | Purple | [stone, stone, stone, brick, brick, glass] | +1 point for each completed stage of your wonder and each of your neighbors' | None | 1
Decorator's Guild (decorators_guild) | Purple | [ore, ore, stone, cloth] | +7 points if all stages of your wonder are completed | None | 1
